component,bus,carrier,2025,2035,2045
Generator,DE0 29,ror,30.1985,30.1985,30.1985
Generator,DE0 29,solar,1411.68248,1411.94522,1378.15858
Generator,DE0 29,solar-hsat,1.82963,241.60043,241.88993
Generator,DE0 29 biogas,unsustainable biogas,2161098.62056,684961.49913,
Generator,DE0 29 low voltage,solar rooftop,0.27872,1648.10344,1648.9618
Generator,DE0 29 rural heat,rural heat vent,2.98939,247.38923,190.43961
Generator,DE0 29 solid biomass,solid biomass,10000.0,3053136.53835,4465130.80435
Generator,DE0 29 solid biomass,unsustainable solid biomass,3642475.60269,1161315.31283,
Generator,DE0 29 unsustainable bioliquids,unsustainable bioliquids,1018650.72561,322861.95617,
Generator,DE0 29 urban central heat,urban central heat vent,179.96261,82.36763,0.27891
Generator,DE0 29 urban decentral heat,urban decentral heat vent,0.49458,0.273,0.01066
Generator,DE0 3,onwind,1016.72722,713.14286,2912.43157
Generator,DE0 3,ror,236.738,236.738,236.738
Generator,DE0 3,solar,1882.17508,1882.44437,1837.46443
Generator,DE0 3,solar-hsat,2528.01814,10226.28014,13410.46968
Generator,DE0 3 biogas,unsustainable biogas,2469320.8331,803080.77043,
Generator,DE0 3 low voltage,solar rooftop,0.57763,7671.85089,7671.85217
Generator,DE0 3 rural heat,rural heat vent,7.1486,14.63893,0.68284
Generator,DE0 3 solid biomass,solid biomass,10000.0,2906469.88019,4273586.52545
Generator,DE0 3 solid biomass,unsustainable solid biomass,4160549.90832,1359855.70663,
Generator,DE0 3 unsustainable bioliquids,unsustainable bioliquids,1163933.67451,378538.3979,
Generator,DE0 3 urban central heat,urban central heat vent,113.3671,7.53429,0.30104
Generator,DE0 3 urban decentral heat,urban decentral heat vent,31.17983,31.40536,0.94599
Generator,DE0 4,onwind,2185.88542,1533.21294,3853.36579
Generator,DE0 4,ror,2.561,2.561,2.561
Generator,DE0 4,solar,2732.25461,2732.52114,2667.31972
Generator,DE0 4,solar-hsat,0.76228,1.10219,0.12573
Generator,DE0 4 biogas,unsustainable biogas,3330568.0562,1093657.67169,
Generator,DE0 4 low voltage,solar rooftop,0.27763,3628.93651,3628.93683
Generator,DE0 4 rural heat,rural heat vent,12.10878,13.0171,0.68597
Generator,DE0 4 solid biomass,solid biomass,10000.0,4000443.504,5806898.55108
Generator,DE0 4 solid biomass,unsustainable solid biomass,5608174.50815,1848270.94808,
Generator,DE0 4 unsustainable bioliquids,unsustainable bioliquids,1569889.28449,515504.09141,
Generator,DE0 4 urban central heat,urban central heat vent,0.64042,6.06658,0.21033
Generator,DE0 4 urban decentral heat,urban decentral heat vent,0.48983,0.29418,0.01372
Generator,DE0 5,offwind-ac,96.88738,159.91771,159.92787
Generator,DE0 5,onwind,3128.47608,11682.90332,11682.91005
Generator,DE0 5,ror,0.375,0.375,0.375
Generator,DE0 5,solar,3765.97195,3766.23492,3676.42119
Generator,DE0 5,solar-hsat,0.6693,1.65253,0.12972
Generator,DE0 5 biogas,unsustainable biogas,4407991.39308,1433334.88952,
Generator,DE0 5 low voltage,solar rooftop,0.49715,11025.14659,11025.14661
Generator,DE0 5 rural heat,rural heat vent,4.77368,18.84003,0.83886
Generator,DE0 5 solid biomass,solid biomass,10000.0,4991097.66177,7280573.62418
Generator,DE0 5 solid biomass,unsustainable solid biomass,7419158.02724,2419216.29726,
Generator,DE0 5 unsustainable bioliquids,unsustainable bioliquids,2077741.19531,675613.6029,
Generator,DE0 5 urban central heat,urban central heat vent,0.11364,10.78143,0.9742
Generator,DE0 5 urban decentral heat,urban decentral heat vent,40.55867,24.15309,0.99557
Generator,DE0 6,offwind-ac,1589.22643,2406.51746,2406.51853
Generator,DE0 6,offwind-dc,2700.01239,36916.4654,40729.42021
Generator,DE0 6,onwind,2043.45223,6508.89951,6508.89944
Generator,DE0 6,solar,2736.44709,2736.64336,2671.36792
Generator,DE0 6,solar-hsat,0.33536,0.41675,0.03449
Generator,DE0 6 biogas,unsustainable biogas,2493831.8985,867373.39641,
Generator,DE0 6 low voltage,solar rooftop,0.2155,1437.76638,2557.1996
Generator,DE0 6 rural heat,rural heat vent,14.8442,15.92129,0.82255
Generator,DE0 6 solid biomass,solid biomass,10000.0,2663727.46557,4137128.45963
Generator,DE0 6 solid biomass,unsustainable solid biomass,4201749.25305,1467921.75836,
Generator,DE0 6 unsustainable bioliquids,unsustainable bioliquids,1175487.15676,408843.22965,
Generator,DE0 6 urban central heat,urban central heat vent,0.06656,612.42781,269.70915
Generator,DE0 6 urban decentral heat,urban decentral heat vent,0.60501,22.5332,0.83535
Generator,DE0 7,onwind,2677.32652,1877.3259,866.42543
Generator,DE0 7,ror,495.9628,495.9628,495.9628
Generator,DE0 7,solar,2945.92551,2946.21138,2875.94089
Generator,DE0 7,solar-hsat,22.8043,1817.85821,4611.1464
Generator,DE0 7 biogas,unsustainable biogas,3956234.7321,1255113.49523,
Generator,DE0 7 low voltage,solar rooftop,0.41847,5744.46666,5744.46992
Generator,DE0 7 rural heat,rural heat vent,10.14277,15.64744,0.69381
Generator,DE0 7 solid biomass,solid biomass,10000.0,5312393.61376,7777397.78772
Generator,DE0 7 solid biomass,unsustainable solid biomass,6659824.30978,2119653.44508,
Generator,DE0 7 unsustainable bioliquids,unsustainable bioliquids,1864802.16229,591607.55575,
Generator,DE0 7 urban central heat,urban central heat vent,0.1458,6.79235,0.30466
Generator,DE0 7 urban decentral heat,urban decentral heat vent,0.50234,14.46474,0.8882
Generator,DE0 8,onwind,2295.97055,1610.1527,7326.6386
Generator,DE0 8,ror,23.612,23.612,23.612
Generator,DE0 8,solar,2617.12443,2617.34876,2554.89992
Generator,DE0 8,solar-hsat,0.49153,0.58026,0.05251
Generator,DE0 8 biogas,unsustainable biogas,3445347.14702,1117493.61915,
Generator,DE0 8 low voltage,solar rooftop,0.20739,4079.98978,4079.9903
Generator,DE0 8 rural heat,rural heat vent,6.58838,20.0402,0.70158
Generator,DE0 8 solid biomass,solid biomass,10000.0,4142607.7721,5988501.80643
Generator,DE0 8 solid biomass,unsustainable solid biomass,5801100.57044,1888335.52301,
Generator,DE0 8 unsustainable bioliquids,unsustainable bioliquids,1623991.30605,526739.35154,
Generator,DE0 8 urban central heat,urban central heat vent,101.11302,9.6934,0.2236
Generator,DE0 8 urban decentral heat,urban decentral heat vent,0.49103,18.07231,0.86934
Generator,DE0 9,onwind,1027.89559,720.92953,1291.13993
Generator,DE0 9,ror,23.25203,23.25203,23.25203
Generator,DE0 9,solar,1958.86111,1959.13409,1912.3456
Generator,DE0 9,solar-hsat,7999.99235,16757.74181,20969.63887
Generator,DE0 9 biogas,unsustainable biogas,2201067.9399,718781.62052,
Generator,DE0 9 low voltage,solar rooftop,0.37677,8602.50086,8602.5062
Generator,DE0 9 rural heat,rural heat vent,7.04487,11.09517,0.75633
Generator,DE0 9 solid biomass,solid biomass,10000.0,2513138.29029,3675237.44497
Generator,DE0 9 solid biomass,unsustainable solid biomass,3709657.90337,1218161.7541,
Generator,DE0 9 unsustainable bioliquids,unsustainable bioliquids,1037490.57668,338803.33472,
Generator,DE0 9 urban central heat,urban central heat vent,97.3671,7.55928,0.4
Generator,DE0 9 urban decentral heat,urban decentral heat vent,32.23709,22.35498,1.00855
Line,DE0 0,AC,14076.48567,18920.38972,19375.87186
Line,DE0 1,AC,9473.71037,9473.7115,9473.71429
Line,DE0 10,AC,24570.30728,40040.27859,40040.29518
Line,DE0 11,AC,25687.65255,25885.6907,28510.55253
Line,DE0 12,AC,15551.16536,19219.3315,19416.0415
Line,DE0 13,AC,35832.63294,42021.90986,42021.91992
Line,DE0 14,AC,31112.14975,41614.76191,42120.38289
