component,name,bus,carrier,2025,2035,2045
Link,DE0 0 SMR-2025,DE gas,SMR,0.42975,,
Link,DE0 0 Sabatier-2025,DE0 0 H2,Sabatier,0.00938,,
Link,DE0 0 agriculture machinery oil,DE oil,agriculture machinery oil,80.25434,80.25434,80.25434
Link,DE0 0 battery charger-2025,DE0 0,battery charger,0.06351,,
Link,DE0 0 battery discharger-2025,DE0 0 battery,battery discharger,0.06499,,
Link,DE0 0 biogas to gas CC-2025,DE0 0 biogas,biogas to gas CC,0.36698,,
Link,DE0 0 biogas to gas-2025,DE0 0 biogas,biogas to gas,901.15477,901.15477,
Link,DE0 0 coal for industry,EU coal,coal for industry,263.53196,168.41096,48.34018
Link,DE0 0 coal-1985,EU coal,coal,248.61221,,
Link,DE0 0 electricity distribution grid-2025,DE0 0,electricity distribution grid,5903.74237,5903.74237,5903.74237
Link,DE0 0 electricity distribution grid-reversed-2025,DE0 0 low voltage,electricity distribution grid,5903.74237,5903.74237,5903.74237
Link,DE0 0 gas for industry,DE gas,gas for industry,1488.57438,1009.128,0.00684
Link,DE0 0 gas for industry CC-2025,DE gas,gas for industry CC,0.03437,,
Link,DE0 0 home battery charger-2025,DE0 0 low voltage,home battery charger,0.04794,,
Link,DE0 0 home battery discharger-2025,DE0 0 home battery,home battery discharger,0.04906,,
Link,DE0 0 kerosene for aviation,DE oil,kerosene for aviation,1656.63631,1821.09072,1691.85494
Link,DE0 0 land transport oil,DE oil,land transport oil,6294.37025,2087.18393,159.1432
Link,DE0 0 methanolisation-2025,DE0 0 H2,methanolisation,0.54782,,
Link,DE0 0 naphtha for industry,DE oil,naphtha for industry,350.45662,216.89498,76.48402
Link,DE0 0 oil-1990,DE oil,oil,101.14286,,
Link,DE0 0 process emissions,DE0 0 process emissions,process emissions,29.43069,0.00443,0.00057
Link,DE0 0 process emissions CC-2025,DE0 0 process emissions,process emissions CC,175.31301,175.31301,175.31301
